id	label
0	C0000039
1	C0000096
2	C0000097
3	C0000098
4	C0000103
5	C0000107
6	C0000139
7	C0000215
8	C0000220
9	C0000232
10	C0000248
11	C0000275
12	C0000294
13	C0000300
14	C0000334
15	C0000340
16	C0000343
17	C0000370
18	C0000376
19	C0000378
20	C0000379
21	C0000392
22	C0000407
23	C0000424
24	C0000473
25	C0000477
26	C0000481
27	C0000506
28	C0000511
29	C0000543
30	C0000544
31	C0000545
32	C0000546
33	C0000589
34	C0000598
35	C0000608
36	C0000610
37	C0000617
38	C0000618
39	C0000641
40	C0000658
41	C0000661
42	C0000665
43	C0000677
44	C0000699
45	C0000727
46	C0000735
47	C0000737
48	C0000768
49	C0000771
50	C0000772
51	C0000773
52	C0000786
53	C0000809
54	C0000810
55	C0000821
56	C0000823
57	C0000832
58	C0000833
59	C0000880
60	C0000887
61	C0000889
62	C0000946
63	C0000948
64	C0000956
65	C0000959
66	C0000966
67	C0000970
68	C0000973
69	C0000979
70	C0000981
71	C0000983
72	C0000992
73	C0001002
74	C0001006
75	C0001026
76	C0001040
77	C0001041
78	C0001044
79	C0001047
80	C0001050
81	C0001056
82	C0001060
83	C0001061
84	C0001075
85	C0001080
86	C0001118
87	C0001122
88	C0001125
89	C0001126
90	C0001127
91	C0001128
92	C0001134
93	C0001139
94	C0001143
95	C0001144
96	C0001158
97	C0001159
98	C0001163
99	C0001173
100	C0001175
101	C0001185
102	C0001186
103	C0001197
104	C0001198
105	C0001204
106	C0001206
107	C0001218
108	C0001223
109	C0001249
110	C0001255
111	C0001261
112	C0001268
113	C0001275
114	C0001314
115	C0001349
116	C0001364
117	C0001367
118	C0001396
119	C0001403
120	C0001407
121	C0001413
122	C0001414
123	C0001418
124	C0001420
125	C0001422
126	C0001430
127	C0001433
128	C0001442
129	C0001443
130	C0001455
131	C0001459
132	C0001465
133	C0001480
134	C0001486
135	C0001487
136	C0001506
137	C0001511
138	C0001516
139	C0001521
140	C0001529
141	C0001546
142	C0001551
143	C0001576
144	C0001614
145	C0001617
146	C0001618
147	C0001621
148	C0001622
149	C0001623
150	C0001624
151	C0001627
152	C0001636
153	C0001641
154	C0001644
155	C0001645
156	C0001655
157	C0001714
158	C0001723
159	C0001733
160	C0001734
161	C0001768
162	C0001804
163	C0001814
164	C0001815
165	C0001816
166	C0001818
167	C0001824
168	C0001825
169	C0001828
170	C0001849
171	C0001857
172	C0001869
173	C0001871
174	C0001872
175	C0001883
176	C0001888
177	C0001889
178	C0001897
179	C0001898
180	C0001899
181	C0001911
182	C0001916
183	C0001924
184	C0001925
185	C0001927
186	C0001937
187	C0001957
188	C0001962
189	C0001963
190	C0001969
191	C0001973
192	C0001975
193	C0001981
194	C0001992
195	C0001994
196	C0002006
197	C0002011
198	C0002026
199	C0002055
200	C0002062
201	C0002063
202	C0002064
203	C0002073
204	C0002083
205	C0002092
206	C0002119
207	C0002132
208	C0002144
209	C0002151
210	C0002154
211	C0002156
212	C0002157
213	C0002158
214	C0002159
215	C0002160
216	C0002164
217	C0002170
218	C0002171
219	C0002199
220	C0002210
221	C0002241
222	C0002253
223	C0002260
224	C0002327
225	C0002333
226	C0002334
227	C0002335
228	C0002351
229	C0002362
230	C0002367
231	C0002371
232	C0002372
233	C0002374
234	C0002377
235	C0002382
236	C0002390
237	C0002395
238	C0002402
239	C0002403
240	C0002406
241	C0002412
242	C0002413
243	C0002418
244	C0002421
245	C0002435
246	C0002436
247	C0002438
248	C0002453
249	C0002456
250	C0002475
251	C0002482
252	C0002483
253	C0002499
254	C0002501
255	C0002502
256	C0002508
257	C0002514
258	C0002520
259	C0002525
260	C0002526
261	C0002534
262	C0002555
263	C0002556
264	C0002563
265	C0002569
266	C0002573
267	C0002575
268	C0002578
269	C0002583
270	C0002586
271	C0002589
272	C0002591
273	C0002598
274	C0002600
275	C0002602
276	C0002607
277	C0002615
278	C0002616
279	C0002620
280	C0002622
281	C0002624
282	C0002640
283	C0002641
284	C0002644
285	C0002645
286	C0002658
287	C0002667
288	C0002679
289	C0002680
290	C0002697
291	C0002699
292	C0002711
293	C0002726
294	C0002736
295	C0002743
296	C0002763
297	C0002766
298	C0002768
299	C0002771
300	C0002772
301	C0002792
302	C0002823
303	C0002831
304	C0002842
305	C0002844
306	C0002854
307	C0002860
308	C0002871
309	C0002874
310	C0002876
311	C0002878
312	C0002880
313	C0002884
314	C0002886
315	C0002888
316	C0002891
317	C0002892
318	C0002893
319	C0002894
320	C0002895
321	C0002896
322	C0002902
323	C0002932
324	C0002934
325	C0002937
326	C0002938
327	C0002940
328	C0002949
